substrate_type,initial_conc_g_cod_l,anode_material,anode_surface_area_m2,anolyte_volume_ml,cathode_material,cathode_surface_area_m2,catholyte_volume_ml,pH,temperature_c,anode_S_V_ratio_m2_m3,cathode_S_V_ratio_m2_m3,max_power_density_w_m2,anode_description,cathode_description,substrate_description
sodium acetate,2.56,graphite felt,0.0018,250,graphite felt,0.0028,250,,30,7.2,11.2,0.836,three-dimensional fibrous network; high porosity; large specific surface area; interconnected macroporous channels | large accessible surface area; macroporous fibrous architecture; rough microtextured fibers; hydrophobic low-polarity surface | high biocompatibility; dense electroactive biofilm colonization; fibrous macroporous biofilm scaffold; low microbial cytotoxicity | high electrical conductivity; low charge-transfer resistance; wide electrochemical stability window; high double-layer capacitance,three-dimensional fibrous network; high specific surface area; interconnected macroporous architecture; micrometer-scale carbon fibers | high specific surface area; porous fibrous network; rough biofilm-supporting surface; limited oxygen functional groups | biocompatible carbon surface; high microbial adhesion; three-dimensional biofilm scaffold; extracellular electron transfer support | high electrical conductivity; low charge-transfer resistance; large electroactive surface area; efficient extracellular electron transfer,highly water-soluble; 0.78 g COD g−1; low microbial toxicity; readily biodegradable nonfermentable
sucrose,0.9,carbon felt,0.0114,20,carbon cloth,0.0162,20,7.45,25,570,810,0.035,nonwoven fibrous network; high macroporosity; large specific surface area; compressible three-dimensional scaffold | high specific surface area; three-dimensional fibrous porosity; rough biofilm-supporting surface; tunable oxygen functional groups | high microbial adhesion; robust biofilm formation; biocompatible carbon surface; porous colonization scaffold | high electrical conductivity; low internal resistance; wide electrochemical stability window; efficient extracellular electron transfer,woven carbon fiber network; macroporous open structure; high geometric surface area; flexible textile architecture | woven macroporous fiber network; rough biofilm-supporting surface; hydrophobic graphitic carbon surface; low native oxygen functionality | biocompatible woven microfibers; robust biofilm attachment; high microbial colonization; extracellular electron transfer interface | high electrical conductivity; low charge-transfer resistance; wide electrochemical stability window; efficient extracellular electron transfer,high aqueous solubility; high theoretical COD; low microbial toxicity; readily fermentable biodegradable
glucose,0.25,carbon paper,0.0025,700,titanium plate,0.0025,700,,25,3.571428571,3.571428571,0.0495,porous fibrous network; interconnected macroporous voids; large specific surface area; thin planar sheet geometry | macroporous fibrous surface; moderate specific surface area; hydrophobic carbon surface; biofilm-supportive surface texture | biocompatible inert carbon surface; moderate microbial adhesion; fibrous biofilm scaffold; extracellular electron transfer compatibility | high electrical conductivity; low charge transfer resistance; broad electrochemical stability; efficient extracellular electron transfer,planar rigid plate; smooth compact surface; low specific surface area; dense nonporous structure | native TiO2 passivation; smooth planar morphology; low specific surface area; corrosion-resistant biocompatible surface | excellent biocompatibility; low microbial toxicity; moderate biofilm adhesion; corrosion-resistant TiO2 passivation | moderate electrical conductivity; high corrosion resistance; stable passive oxide; elevated charge-transfer resistance,high aqueous solubility; high theoretical COD; low microbial toxicity; rapid biodegradability and fermentability
dextrose anhydrous,0.85,carbon cloth,0.00035,300,pes-modified laser-induced graphene on carbon cloth,0.00035,300,,,1.166666667,1.166666667,0.72,woven carbon fiber network; interconnected macroporous voids; flexible cloth architecture; rough filament surfaces | open woven macroporosity; rough fibrous texture; moderate specific surface area; hydrophobic carbon surface | biocompatible carbon fiber scaffold; robust microbial adhesion; stable electroactive biofilm support; low cytotoxicity | high electrical conductivity; low charge-transfer resistance; stable electrochemical response; efficient extracellular electron transfer,3D porous graphene network; hierarchical micro/mesopores; high specific surface area; conformal carbon cloth coverage | hierarchical porous graphene surface; high electroactive surface area; enhanced surface hydrophilicity; sulfonyl-rich biofilm affinity | enhanced bacterial adhesion; dense electroactive biofilm; facilitated extracellular electron transfer; improved microbial biocompatibility | high electrical conductivity; low charge-transfer resistance; enhanced electroactive surface area; rapid extracellular electron transfer,high aqueous solubility; COD 1.07 g O₂/g; low microbial toxicity; readily biodegradable fermentable
glucose,19.21,carbon fiber,0.0072,200,carbon fiber,0.0072,200,6.75,,36,36,0.541,microscale fibrous network; high specific surface area; interconnected macroporous architecture; rough filament surfaces | large specific surface area; rough fibrous morphology; oxygenated surface functional groups; strong microbial adhesion | good microbial biocompatibility; stable biofilm adhesion; efficient extracellular electron transfer; modifiable surface chemistry | high electrical conductivity; low internal resistance; rapid electron transfer; wide electrochemical stability window,microscale fibrous network; high specific surface area; interconnected macroporous structure; rough biofilm-supporting surface | high specific surface area; favorable biofilm adhesion; tunable surface functional groups; moderate surface roughness | good microbial biocompatibility; strong bacterial adhesion; conductive biofilm support; efficient extracellular electron transfer | high electrical conductivity; low internal resistance; efficient extracellular electron transfer; wide electrochemical stability window,high aqueous solubility; high theoretical COD; low microbial toxicity; rapid biodegradability and fermentability
rotten sweet potato juice,,graphite rod,0.00302,2500,graphite rod,0.00302,2500,7,,1.208,1.208,0.00873,cylindrical monolithic geometry; dense low-porosity structure; smooth limited surface area; rigid mechanically stable form | low specific surface area; smooth graphite surface; hydrophobic carbon surface; electrochemically stable surface | biocompatible carbon surface; electroactive biofilm support; moderate microbial adhesion; low specific surface area | high electrical conductivity; low ohmic resistance; wide electrochemical stability window; moderate charge-transfer kinetics,cylindrical rod geometry; dense graphitic matrix; smooth nonporous surface; low specific surface area | low specific surface area; relatively smooth surface; hydrophobic graphitic basal planes; limited surface oxygen groups | biocompatible carbon surface; electroactive biofilm adhesion; low microbial toxicity; limited biofilm surface area | high electrical conductivity; low charge-transfer resistance; broad potential window; electrochemical corrosion resistance,high aqueous solubility; high COD; low toxicity; readily biodegradable; highly fermentable
sodium acetate,0.47,graphite fiber brush,0.0007,28,carbon paper,0.0007,28,7.4,,25,25,0.619,three-dimensional brush architecture; high specific surface area; macroporous fiber network; radial graphite fiber bundles | high specific surface area; rough fibrous topology; biocompatible graphitic surface; open macroporous structure | large microbial attachment area; dense electroactive biofilm formation; three-dimensional microbial colonization; efficient extracellular electron transfer | high electrical conductivity; low charge-transfer resistance; efficient extracellular electron transfer; high current density,interconnected carbon fiber network; macroporous open structure; high accessible surface area; thin flexible sheet morphology | hydrophobic carbon fiber surface; low specific surface area; chemically stable graphitic surface; limited microbial adhesion | biocompatible carbon surface; stable biofilm support; efficient bacterial adhesion; extracellular electron transfer interface | high electrical conductivity; low internal resistance; stable electrochemical response; efficient extracellular electron transfer,highly water-soluble; 0.78 g COD g−1; low microbial toxicity; readily biodegradable nonfermentable
cow manure,1.1,graphite felt,0.0016,100,graphite felt,0.0016,100,7.25,25,16,16,0.0869,three-dimensional fibrous network; high porosity; large specific surface area; interconnected macroporous channels | large accessible surface area; macroporous fibrous architecture; rough microtextured fibers; hydrophobic low-polarity surface | high biocompatibility; dense electroactive biofilm colonization; fibrous macroporous biofilm scaffold; low microbial cytotoxicity | high electrical conductivity; low charge-transfer resistance; wide electrochemical stability window; high double-layer capacitance,three-dimensional fibrous network; high specific surface area; interconnected macroporous architecture; micrometer-scale carbon fibers | high specific surface area; porous fibrous network; rough biofilm-supporting surface; limited oxygen functional groups | biocompatible carbon surface; high microbial adhesion; three-dimensional biofilm scaffold; extracellular electron transfer support | high electrical conductivity; low charge-transfer resistance; large electroactive surface area; efficient extracellular electron transfer,high particulate COD; low soluble fraction; high biodegradability; moderate ammonia inhibition
petrochemical industrial wastewater,5.6,activated carbon fiber felt,0.012,500,activated carbon fiber felt,0.012,500,7,,24,24,0.27,fibrous felt network; high specific surface area; hierarchical micro/mesoporosity; interconnected macroporous voids | high specific surface area; hierarchical micro/mesoporosity; oxygenated surface functional groups; rough biofilm-supportive texture | high bacterial adhesion; robust biofilm colonization; biocompatible carbon surface; porous microbial habitat | high electrical conductivity; low charge-transfer resistance; high specific capacitance; wide electrochemical stability window,three-dimensional fibrous network; high specific surface area; hierarchical porous structure; high void fraction | high specific surface area; hierarchical micro-mesoporosity; oxygenated surface functional groups; rough biofilm-supportive texture | high biofilm adhesion; biocompatible carbon surface; porous microbial colonization scaffold; enhanced extracellular electron transfer | high electrical conductivity; low charge-transfer resistance; high double-layer capacitance; wide electrochemical stability window,high COD; hydrophobic poorly soluble organics; toxic recalcitrant hydrocarbons; low biodegradability
brewery wastewater,0.5,biochar-modified carbon felt,0.00159,400,carbon felt,0.00159,400,7,,3.975,3.975,0.10805,hierarchical porous biochar coating; large specific surface area; rough fiber surface topography; interconnected macroporous felt network | high specific surface area; rough biochar-coated surface; oxygenated surface functional groups; enhanced surface hydrophilicity | enhanced microbial adhesion; robust electroactive biofilm; improved extracellular electron transfer; biocompatible porous interface | enhanced electrical conductivity; reduced charge-transfer resistance; improved electron-transfer kinetics; increased electroactive surface area,three-dimensional fibrous network; high porosity; large surface area; interconnected macroporous channels | high specific surface area; porous fibrous network; rough microstructured surface; oxygen-containing functional groups | good biocompatibility; high microbial adhesion; rough fibrous biofilm scaffold; extracellular electron transfer compatibility | high electrical conductivity; low charge-transfer resistance; capacitive surface behavior; fast electron transfer kinetics,high soluble COD; low toxicity; readily biodegradable organics; high fermentability
